actionRay;alert;classification;control;culture;damage;dataPest;daysAdhesiveFloor;daysPheromone;detectionName;id;namePopular;nameScientific;pheromones;photoTime;symptoms;id_imagem;link_imagem
50.0;2;Inseto;3;Soja;4;C. includens pode ser reconhecida através da sua coloração verde-clara com linhas longitudinais brancas que percorrem todo o seu dorso, além de pequenos pontos pretos.  As lagartas se locomovem a “mede-palmo” e apresentam três pares de patas torácicas, dois pares de pseudopatas e um par abdominal. Diferentemente da pupa de C. includens, a pupa de Trichoplusia ni é de cor marrom uniforme, enquanto a de Rachiplusia nu é de cor marrom-escura a preta. Entretanto, é importante salientar que este padrão de coloração é afetado pelo tipo de dieta em que a lagarta se desenvolve. Em geral, lagartas de C. includens alimentando-se de folhas irão originar pupas verde-escuras. A mariposa apresenta asas dispostas na forma de uma quilha quando a mariposa está em repouso, de cor marrom ou cinza, com brilho cúpreo, com duas manchas prateadas.;15;21;Falsa-medideira;20;Lagarta Falsa-medideira;Chrysodeixis includens, rachiplusia nu, trichoplusia ni;Bio Pseudoplusia - Chrysodeixis includens;08:00:00;A medida que crescem, passam a atacar de forma mais profunda as folhas, chegando a destruir o limbo foliar, deixando apenas as nervuras, o que, consequentemente, reduz a capacidade fotossintética das plantas e afeta diretamente a produtividade da cultura.;1251, 1252;https://otmis-pragas-armadilhas.s3.amazonaws.com/8ffd3b93-6447-11ed-a096-d77419991d51.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/900cd169-6447-11ed-945d-094a59328be3.jpg
50.0;2;Inseto;5;Milho;6;Lagarta Helicoverpa armigera: >1cm de comprimento com pelos brancos na região da cabeça, inúmeras pinturas ou pretuberâncias pretas em forma de sela. É possível identificá-la também pelo seu comportamento quando perturbada, pois a lagarta curva a parte dianteira direcionando a cabeça para as “patas” dianteiras. Lagarta Helicoverpa zea: é possível diferenciá-las facilmente através da coloração da cabeça, que é mais escura na Spodoptera frugiperda. A Helicoverpa zea tem a cabeça de coloração marrom bem clara enquanto a lagarta-do-cartucho apresenta a cabeça quase preta.  ;15;42;Helicoverpa spp.;21;Lagarta Helicoverpa;Helicoverpa spp.;Biohelicoverpa - Helicoverpa Armigera;07:00:00;As vias de ingresso da Helicoverpa armigera nas plantas são a parte aérea (flor, folha, gemas, fruto/vagem, estruturas reprodutivas e pontos de crescimento). Em estágios imaturos alimentam-se em todos os estágios de desenvolvimento da planta, danificando todas as estruturas. As larvas atacam ramos, flores e cápsulas da semente. No milho, o ataque de Helicoverpa zea causa redução da fertilidade e do peso dos grãos, as lagartas atacam os estigmas impedindo a fertilização provocando falhas em toda a espiga. Ao alimentarem-se dos grãos, deixam orifícios que facilitam a penetração de microrganismos, podendo causar podridões.;268, 269, 270, 271;https://otmis-pragas-armadilhas.s3.amazonaws.com/989472f2-6441-11ed-b827-3b0bab896504.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/9895d477-6441-11ed-92a4-f95bc6556d2a.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/99608faf-7249-11ed-b294-394ec6d108f5.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/b92b8965-7249-11ed-abe6-394ec6d108f5.jpg
50.0;2;Inseto;5;Soja;6;Lagarta Helicoverpa armigera: >1cm de comprimento com pelos brancos na região da cabeça, inúmeras pinturas ou pretuberâncias pretas em forma de sela. É possível identificá-la também pelo seu comportamento quando perturbada, pois a lagarta curva a parte dianteira direcionando a cabeça para as “patas” dianteiras. Lagarta Helicoverpa zea: é possível diferenciá-las facilmente através da coloração da cabeça, que é mais escura na Spodoptera frugiperda. A Helicoverpa zea tem a cabeça de coloração marrom bem clara enquanto a lagarta-do-cartucho apresenta a cabeça quase preta. ;15;42;Helicoverpa spp.;22;Lagarta Helicoverpa;Helicoverpa spp.;Biohelicoverpa - Helicoverpa Armigera;07:00:00;As vias de ingresso da Helicoverpa armigera nas plantas são a parte aérea (flor, folha, gemas, fruto/vagem, estruturas reprodutivas e pontos de crescimento). Os estágios imaturos (lagartas) alimentam-se em todos os estágios de desenvolvimento da planta, danificando todas as estruturas. A preferência de consumo são as flores grãos de legumes jovens, mas podem alimentar-se também de folhas  e ramos em soja.;272, 273, 274;https://otmis-pragas-armadilhas.s3.amazonaws.com/da5174ee-6441-11ed-ac8f-8112f7cc35ab.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/da510625-6441-11ed-b9e7-3b0bab896504.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/1e9b232b-724a-11ed-9974-394ec6d108f5.jpg
20.0;15;Inseto;20;Milho;30;A cigarrinha D. maidis é um inseto de cor branco-palha, podendo apresentar-se levemente acinzentada, com cerca de 0,5 cm, que se alimenta da seiva da planta de milho e realiza postura sob a epiderme da folha, preferencialmente na nervura central de folhas do cartucho da plântula.;7;7;Cigarrinha;23;Cigarrinha;Dalbulus maidis;Armadilha amarela;07:00:00;"Os molicutes transmitidos pela cigarrinha, se distribuem nos feixes vasculares da planta, reduzindo sua nutrição e seu metabolismo. Afetam o processo de translocação de fotoassimilados, com consequente redução no tamanho das espigas e grãos. •	Descoloração na margem das folhas; •	Redução na altura da planta, encurtamento dos entre-nós; •	Redução no tamanho das espigas, com grãos chochos ou poucos grãos; •	Avermelhamento nas folhas; •	Formação reduzida de raízes; •	Brotamento nas axilas das folhas; •	Emissão de perfilhos na base das plantas; •	Secamento precoce e morte; •	Perda total da produção. ";8751, 8752, 8753;https://otmis-pragas-armadilhas.s3.amazonaws.com/99adcfd0-6442-11ed-bbb5-3b0bab896504.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/9a05d40c-6442-11ed-a833-3b0bab896504.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/9a415462-6442-11ed-888b-3b0bab896504.jpg
50.0;2;Inseto;3;Soja;5;MARIPOSA: Quando adultos são mariposas pequenas e alongadas, de coloração acinzentada (Femea) e amarelada (Macho). Em repouso as asas ficam dobradas junto ao corpo.   LAGARTA: A lagarta apresenta coloração verde-azulada, com estrias transversais marrons, purpúreas ou pardo-escuras, e mede cerca de 15 mm. ;15;0;Elasmo;24;Lagarta - Elasmo;Elasmopalpus lignosellus;Não Possui;07:00:00;Os danos iniciam – se nas fases iniciais entre 30 a 40 dias após a germinação. Os sintomas observados são raspagem da folha e na medida que crescem criam orificios na planta ao nivel de solo construindo uma galeria de orientação ascendente danificando o sistema condutor da planta gerando uma redução do estande inicial ;278, 279, 280;https://otmis-pragas-armadilhas.s3.amazonaws.com/48676476-65b5-11ed-ab88-23e974296d81.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/48ac30b6-65b5-11ed-8686-59d830b53054.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/48c7420a-65b5-11ed-8906-f95b09e71f67.jpg
0.0;2;Inseto;4;Milho;6;Besouro pequeno (5 a 7 mm), de coloração verde e amarela (seis manchas amarelas nos élitros verdes).;15;0;Vaquinha;25;Vaquinha;Diabrotica speciosa;Não Possui;07:00:00;Larvas: se alimentam de raízes, dessa forma reduzindo a sustentação das plantas podendo causar a morte das plântulas e redução do stand, além da perfuração de folhas cotiledonares. “Sintoma pescoço de ganso em plantas de milho, ficando tombadas”. Adultos: se alimentam de folíolos e folhas, causando desfolha.;281, 282, 283;https://otmis-pragas-armadilhas.s3.amazonaws.com/78b0ae03-66aa-11ed-983b-e5a04c528f98.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/7ab00a30-66aa-11ed-a69f-e5a04c528f98.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/7b816039-66aa-11ed-aab4-e5a04c528f98.jpg
0.0;2;Inseto;4;Soja;6;Besouro pequeno (5 a 7 mm), de coloração verde e amarela (seis manchas amarelas nos élitros verdes).;15;0;Vaquinha;26;Vaquinha;Diabrotica speciosa;Não Possui;07:00:00;Atacam as folhas da soja, abrindo pequenos orifícios e causando desfolha, diminuindo a atividade fotossintética e afetando diretamente a produtividade da cultura. Além disso, as flores e vagens pequenas podem ser também prejudicadas, o que pode levar inclusive à falhas na formação de grãos.;284, 285, 286;https://otmis-pragas-armadilhas.s3.amazonaws.com/f2fe7c80-66aa-11ed-a709-e5a04c528f98.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/0a0d54e3-66ab-11ed-aa7f-e5a04c528f98.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/1e2d6731-66ab-11ed-9218-e5a04c528f98.jpg
40.0;2;Inseto;4;Tomate;5;Os ovos são colocados nas folhas, hastes, flores e frutos. São elípticos, de cor branca, e se tornam amarelados ou marrons. As larvas eclodem três a cinco dias após a postura e são de cor branca ou verde. Após a eclosão, penetram imediatamente no parênquima foliar, nos frutos ou nos ápices das hastes, onde permanecem por oito a dez dias, quando se transformam em pupas. A fase de pupa dura de sete a dez dias e ocorre principalmente nas folhas ou no solo e, ocasionalmente, nas hastes e frutos. Os adultos (Figura 2) são pequenas mariposas de cor cinza, marrom ou prateada, medem aproximadamente 10 mm de comprimento e podem viver até uma semana. Acasalam-se imediatamente após a emergência, voam e ovipositam predominantemente ao amanhecer e ao entardecer.;15;60;Tuta Absoluta;27;Traça-do-tomateiro;Tuta absoluta;Bio Tuta;08:00:00;Os danos são causados pelas larvas, que formam minas nas folhas e se alimentam no interior destas. Podem destruir completamente as folhas (Figura 3 e Figura 4) do tomateiro e tornar imprestáveis os frutos (Figura 5), além de facilitar a contaminação por patógenos.;70801, 70802, 70803;https://otmis-pragas-armadilhas.s3.amazonaws.com/cc100f94-ccc0-11ed-a02b-db33523d603b.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/cc141e67-ccc0-11ed-a36f-cf6f1c04fe28.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/cc40bae7-ccc0-11ed-be9d-d3c1bf0649ad.jpg
50.0;2;Inseto;5;Tomate;6;Lagarta Helicoverpa armigera: >1cm de comprimento com pelos brancos na região da cabeça, inúmeras pinturas ou pretuberâncias pretas em forma de sela. É possível identificá-la também pelo seu comportamento quando perturbada, pois a lagarta curva a parte dianteira direcionando a cabeça para as “patas” dianteiras. Lagarta Helicoverpa zea: é possível diferenciá-las facilmente através da coloração da cabeça, que é mais escura na Spodoptera frugiperda. A Helicoverpa zea tem a cabeça de coloração marrom bem clara enquanto a lagarta-do-cartucho apresenta a cabeça quase preta. ;15;42;Helicoverpa spp.;28;Lagarta Helicoverpa;Helicoverpa spp.;Bio Helicoverpa - Helicoverpa Armígera;07:00:00;Causa danos em flores, folhas, gemas, fruto/vagens. A lagarta alimentam-se da planta em vários estágios de desenvolvimento.;304, 305, 306, 307;https://otmis-pragas-armadilhas.s3.amazonaws.com/93ce8bcc-ccc4-11ed-b766-17598af5d60b.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/93e14427-ccc4-11ed-9ecf-e5aa76165a95.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/95ba6947-ccc4-11ed-9ec4-e5aa76165a95.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/95c68528-ccc4-11ed-8f84-17598af5d60b.jpg
50.0;2;Inseto;3;Tomate;4;"Spodoptera frugiperda: Pontuações pretas no dorso; Y invertido na cabeça; 4 pontos próximos ao abdômen.  Spodoptera eridania: possuem coloração escura, com faixas longitudinais amareladas. Spodoptera cosmioides: a cabeça é castanho-amarelada ou alaranjada. Possuem listras amareladas ao longo do corpo, com pontuações brancas e triângulos pretos.";15;30;Spodoptera spp.;29;Lagarta Spodoptera;Spodoptera spp.;Bio Spodoptera - Spodoptera Frugiperda;07:00:00;Inicialmente as espécies de Spodoptera mantêm-se agrupadas raspando o parênquima das folhas e com o passar dos estágios distribui-se pelas plantas do tomateiro podendo atacar diferentes partes da cultura, danificando folhas, flores, ramos e frutos. Quando grandes, as lagartas, principalmente da espécie S. frugiperda podem cortar mudas recém-transplantadas, diminuindo o estande e em muitos casos obrigando um novo transplante de mudas. Na fase reprodutiva da cultura estas lagartas podem perfurar os frutos, depreciando-os.;312, 313, 314, 315;https://otmis-pragas-armadilhas.s3.amazonaws.com/6a5dbc00-ccc5-11ed-a492-17598af5d60b.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/6aa2bd15-ccc5-11ed-8953-17598af5d60b.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/7a115ef8-ccc5-11ed-81f4-17598af5d60b.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/9406f729-ccc5-11ed-9f6b-17598af5d60b.jpg
0.0;2;Inseto;3;Tomate;4;Besouro pequeno (5 a 7 mm), de coloração verde e amarela (seis manchas amarelas nos élitros verdes).;15;0;Vaquinha;30;Vaquinha;Diabrotica speciosa;Não Possui;08:00:00;Adultos de D. speciosa têm sido observados atacando flores e frutos em desenvolvimento. No caso de flores, podem provocar abortamento e reduzir o número de frutos nas pencas. Quanto aos frutos, os adultos começam o ataque fazendo furos que podem ser confundidos com aqueles ocasionados por brocas grandes. Além dos adultos, as formas jovens conhecidas como larvas alfinete, foram observadas atacando frutos de tomate rasteiro, típico para processamento, mais especificamente aquelas pencas que se desenvolvem encostadas ao solo. Os frutos atacados apresentam furos arredondados e quando abertos verifica-se um escurecimento bastante típico, e com o tempo apodrecem e ficam inviáveis para a utilização na indústria;345, 346, 347, 348;https://otmis-pragas-armadilhas.s3.amazonaws.com/88a90f16-ccc6-11ed-bbfd-3d7735709cd2.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/88cae16e-ccc6-11ed-b253-d319bfabd211.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/88c6ff7c-ccc6-11ed-b138-6d61c01afd65.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/88f9763d-ccc6-11ed-8f01-398f5691a11d.jpg
50.0;1;Inseto;2;Tomate;4;Essa mariposa de aproximadamente 25 mm de envergadura possui asas brancas e ligeiramente transparentes. As asas anteriores apresentam na parte mediana três manchas irregulares de coloração marrom e no ápice, uma de cor avermelhada. As asas posteriores são ornadas com alguns pontos escuros quase pretos e no ápice uma mancha de cor preta menos intensa. O corpo e as antenas são pardas esbranquiçada. A fêmea possui abdômen volumoso com a parte final truncada e o macho abdômen delgado com a parte final aguda e recoberta por um penacho em forma de pincel. O ovo recém colocado é branco leitoso, passando a amarelo claro, alaranjado e avermelhado, quando próximos a eclosão e têm formato achatado. As lagartas medem cerca de 11 a 13 mm de comprimento, possuem coloração rosada uniforme, com o primeiro segmento torácico amarelado.;15;45;Broca Neoleucinodes;31;Broca Pequena Do Tomateiro;Broca Neoleucinodes;Bio Neo;08:00:00;O ataque da praga começa quando as fêmeas fertilizadas colocam seus ovos nas bases dos frutos, precisamente debaixo do cálice da flor. Ao eclodir os ovos, as larvas imediatamente perfuram o fruto, deixando uma cicatriz de entrada, mediante a qual se reconhece que o fruto está atacado pela praga. A larva permanece alimentando-se dentro do fruto e quando se aproxima da fase de pupa, sai empupando no solo, deixando no local uma ferida que permitirá a entrada de microorganismos patógenos no fruto. No Brasil a broca-pequena é responsável por uma perda média de 45% da produção nacional, chegando a atingir 100% em algumas regiões.;450, 451, 452, 453, 454, 455, 456;https://otmis-pragas-armadilhas.s3.amazonaws.com/9fa2fddc-cf18-11ed-88b1-010fc94ace86.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/9f9d5663-cf18-11ed-81ca-b5177163e73d.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/9faa4ef6-cf18-11ed-98a0-83c19ca0734a.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/9fb53714-cf18-11ed-8c46-59b2fff367cd.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/9fbd3d12-cf18-11ed-8ae9-4b3de0716cc5.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/9fe89e49-cf18-11ed-a6c9-b90e31828e1b.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/a0015b5a-cf18-11ed-8ea0-63375dcff644.jpg
13.0;1;Inseto;2;Tomate;3;Por sucção direta: ao sugar a seiva das plantas, com a introdução do estilete no tecido vegetal, os insetos (adultos e ninfas) provocam alterações no desenvolvimento vegetativo e reprodutivo da planta, debilitando-a e reduzindo a produtividade e qualidade dos frutos. Em casos de altas densidades populacionais, podem ocorrer perdas de até 50% da produção. ;15;0;Mosca Branca;32;Mosca Branca;Bemisia tabaci;Não Possui;08:00:00;Por sucção direta: ao sugar a seiva das plantas, com a introdução do estilete no tecido vegetal, os insetos (adultos e ninfas) provocam alterações no desenvolvimento vegetativo e reprodutivo da planta, debilitando-a e reduzindo a produtividade e qualidade dos frutos. Em casos de altas densidades populacionais, podem ocorrer perdas de até 50% da produção. Porém, o principal dano causado pela mosca-branca no tomateiro é a transmissão de vírus, especialmente o begomovírus e o crinivírus, que podem comprometer a produtividade das plantas.;355, 356, 357;https://otmis-pragas-armadilhas.s3.amazonaws.com/c48e6fcc-d474-11ed-a756-71b1ec049bad.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/c4b150f5-d474-11ed-9d96-4f6e4d757028.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/c4d17110-d474-11ed-b57e-71b1ec049bad.jpg
98.0;5;Inseto;9;Citrus;10;O adulto é uma pequena mariposa, de coloração marrom-acinzentada, que mimetiza os ramos dos citros e coloca seus ovos sobre os frutos.;30;30;Bicho Furao do Citrus;33;Bicho-furão-dos-citrus;Ecdytolopha aurantiana;Ferocitrus Furão;08:00:00;Os frutos afetados ficam amarelados e caem. O orifício de penetração da lagarta fica evidente e é possível observar secreções, que endurecem e ficam grudadas na casca do fruto. Muitos citricultores confundem as lesões provocadas pelo bicho-furão com aquelas decorrentes da ação de moscas das frutas. Saber a diferença entre eles é muito importante para o combate dessas pragas.  A principal diferença é que, após penetrar no fruto, o bicho-furão lança excrementos e restos de alimentos para a parte externa do fruto, que endurecem na casca. O local do fruto atacado pela mosca fica mole e apodrecido.;484, 485, 486, 487, 488, 489;https://otmis-pragas-armadilhas.s3.amazonaws.com/5593f9ff-d478-11ed-8f43-a9d5ad6a4c46.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/55b0c7ed-d478-11ed-9cec-09aa43e3cbbf.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/55bcbdb6-d478-11ed-b4cd-9f87dc30aabf.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/5604d0b9-d478-11ed-bf05-a9d5ad6a4c46.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/55fd2f8d-d478-11ed-ad67-09aa43e3cbbf.jpg, https://otmis-pragas-armadilhas.s3.amazonaws.com/5620cb9b-d478-11ed-9784-935bce09e99c.jpg
